Sample,Quartz,Augite,Haematite,Gehlenite,Calcite,Analcime,Muscovite,Dolomite,Anorthoclase,Sanidine,Albite
se 1,58,70,14,0,0,10,34,36,105,0,0
se 2,16,83,5,0,43,9,0,23,0,0,66
se 4,89,36,17,36,70,0,7,14,0,55,61
se 5,42,94,8,0,0,0,10,40,0,65,55
se 7,20,102,9,0,0,15,10,30,85,25,0
se 8,50,14,10,20,75,0,10,0,56,0,0
se 10,50,60,16,20,0,0,42,48,0,50,45
se 13,87,25,24,30,55,19,14,13,56,0,0
se 14,32,104,9,3,0,20,10,40,85,0,0
se 14,38,106,12,0,5,17,15,47,0,60,65
se 16,86,28,14,50,86,25,26,22,103,0,0
se 18,38,71,17,0,32,0,3,28,95,0,0
se 19,38,92,9,0,50,0,0,30,0,0,100
se 20,106,41,23,23,32,16,0,24,96,0,0
se 21,23,100,7,0,0,0,11,34,0,105,0
se 22,36,106,6,40,0,7,42,0,72,0,0
se 23,26,0,3,0,124,0,12,0,0,0,12
se 26,68,33,8,18,0,24,0,23,70,0,0
se 27,45,93,17,0,32,0,3,40,0,0,75
se 28,76,44,14,33,66,14,6,0,65,0,0
se 29,21,95,8,7,95,0,7,32,0,50,60
se 30,82,44,12,6,0,0,6,17,0,35,0
se 36,52,90,8,0,43,0,0,39,95,0,0
se 37,97,48,24,33,12,22,24,20,95,0,0
se 42,56,105,11,0,0,17,0,40,0,114,90
se 45,29,92,10,0,0,0,5,31,55,0,0
se 47,47,110,11,0,0,20,0,40,0,88,96
se 48,41,16,7,7,80,0,8,12,0,30,35
se 50,88,22,12,17,0,14,17,0,0,50,50
se 51,40,110,8,0,10,15,10,42,84,0,88
se 52,84,50,13,48,60,0,21,26,0,60,55
se 53,40,115,11,0,0,0,0,27,0,70,0
se 54,35,65,11,0,0,0,17,20,0,80,40
se 56,112,53,19,33,0,0,24,0,0,0,102
se 57,44,92,10,0,15,0,13,32,0,73,0
se 58,38,85,6,11,30,0,11,40,0,65,55
se 60,65,88,0,30,64,0,15,25,85,0,0
se 63,109,24,20,16,0,0,0,0,0,0,79
se 65,85,40,20,20,0,0,16,23,0,0,105
se 72,30,107,3,0,65,29,0,30,40,0,0
se 85,91,64,14,9,0,0,8,16,0,22,30
se 89,64,41,20,9,0,0,10,12,0,0,68
se 90,112,27,23,20,0,0,23,0,91,0,0
se 100,22,32,11,4,0,0,0,6,0,0,80
se 104,36,58,9,40,54,12,5,18,92,0,0
se 106,49,104,13,33,99,39,0,38,0,0,55
se 107,16,21,7,50,11,6,0,0,0,8,16
se 108,107,64,23,52,0,0,0,24,0,0,63
se 110,86,30,17,74,75,16,20,0,26,0,33
se 111,17,40,15,10,0,0,15,17,42,0,47
se 113,39,15,6,62,108,0,6,35,20,0,0
se 114,83,49,15,66,97,0,0,17,62,0,0
se 116,47,55,18,53,105,5,0,17,61,0,0
se 136,89,0,11,37,104,0,19,0,26,0,0
se 141,63,40,19,33,100,15,0,12,53,0,0
se 144,77,10,8,43,109,11,17,11,30,0,0
se 148,37,90,0,0,51,15,9,46,0,0,75
se 151,21,20,23,0,2,0,0,0,0,0,87
se 152,53,87,8,11,84,0,12,22,84,0,0
se 153,75,0,11,0,10,12,13,0,0,24,0
se 154,33,84,10,2,0,0,8,30,66,0,0
se 155,83,46,12,15,40,24,10,26,0,0,100
se 156,47,54,10,0,0,0,9,21,115,0,0
se 160,45,24,27,0,0,11,0,0,0,0,90
se 163,48,23,11,0,40,16,0,15,110,0,0
se 166,90,26,9,0,45,0,0,17,0,17,0
se 168,117,85,18,60,10,25,22,21,100,0,0
se 170,33,23,31,0,11,0,0,12,0,0,117
se 171,63,26,13,46,100,13,15,0,25,0,70
se 172,107,45,31,0,0,0,0,16,76,0,103
se 174,30,29,34,0,0,0,11,0,0,0,109
se 176,33,55,7,2,14,0,0,10,0,30,85
se 177,65,36,10,13,74,0,0,10,0,35,70
fal 1,105,0,10,60,30,26,33,0,90,0,0
fal 2,28,63,0,6,120,36,0,24,66,0,0
fal 3,92,54,20,90,76,20,9,0,85,0,0
fnv13,43,87,7,30,60,15,0,0,42,0,60
fnv14,92,91,13,0,110,9,0,32,70,0,0
fnv15,76,25,20,0,100,16,0,0,24,0,0
fnv4,64,25,6,0,72,0,9,3,0,0,27
fnv5,52,0,0,0,94,0,14,4,30,0,0
fnv6,72,22,10,0,75,0,16,0,23,0,0
fnv8,36,108,7,0,63,50,0,35,0,0,55
fnv9,14,98,6,0,72,8,7,23,0,0,77
mod 1,113,55,0,54,0,15,9,0,98,0,0
mod 2,37,120,7,43,0,10,0,27,24,0,0
mod 3,112,22,24,71,96,12,17,0,62,0,0
mod 4,16,0,0,5,127,0,0,0,0,5,0
mod 5,52,96,10,49,0,9,0,27,53,0,0
mod 6,57,105,6,60,0,6,0,20,36,0,0
mod 7,37,0,0,38,124,0,16,0,0,0,25
mod 8,105,0,0,20,100,20,20,0,32,0,0
mod 9,11,0,3,0,54,0,3,4,0,0,3
ser 1,89,38,9,12,79,0,12,28,0,0,70
ser 2,97,18,14,8,60,0,18,7,0,36,50
ser 3,90,46,10,6,90,0,19,19,45,35,0